step,beta,energy,rho,type
0,0.1,270,0,step
1,0.10199,270,369.093,step
1,0.10199,270,369.093,fracture_detected
1,0.10199,257,369.093,branch_jump
2,0.10398,257,95.719,step
2,0.10398,257,95.719,fracture_detected
2,0.10398,251,95.719,branch_jump
3,0.105971,251,1413.04,step
3,0.105971,251,1413.04,fracture_detected
4,0.107961,251,98.1924,step
4,0.107961,251,98.1924,fracture_detected
4,0.107961,243,98.1924,branch_jump
5,0.109951,243,531.282,step
5,0.109951,243,531.282,fracture_detected
5,0.109951,242,531.282,branch_jump
6,0.111941,242,138.12,step
6,0.111941,242,138.12,fracture_detected
6,0.111941,230,138.12,branch_jump
7,0.113931,230,397.56,step
7,0.113931,230,397.56,fracture_detected
8,0.115922,230,193.612,step
8,0.115922,230,193.612,fracture_detected
9,0.117912,230,555.982,step
9,0.117912,230,555.982,fracture_detected
10,0.119902,230,396.834,step
10,0.119902,230,396.834,fracture_detected
11,0.121892,230,1550.19,step
11,0.121892,230,1550.19,fracture_detected
12,0.123882,230,2265.57,step
12,0.123882,230,2265.57,fracture_detected
13,0.125873,230,2738.19,step
13,0.125873,230,2738.19,fracture_detected
14,0.127863,230,1226.36,step
14,0.127863,230,1226.36,fracture_detected
15,0.129853,230,1664.65,step
15,0.129853,230,1664.65,fracture_detected
16,0.131843,230,882.299,step
16,0.131843,230,882.299,fracture_detected
16,0.131843,229,882.299,branch_jump
17,0.133833,229,338.616,step
17,0.133833,229,338.616,fracture_detected
18,0.135824,229,473.688,step
18,0.135824,229,473.688,fracture_detected
19,0.137814,229,29.4827,step
19,0.137814,229,29.4827,fracture_detected
20,0.139804,229,322.671,step
20,0.139804,229,322.671,fracture_detected
21,0.141794,229,1558.51,step
21,0.141794,229,1558.51,fracture_detected
22,0.143784,229,27.6911,step
22,0.143784,229,27.6911,fracture_detected
23,0.145775,229,82.9249,step
23,0.145775,229,82.9249,fracture_detected
24,0.147765,229,1521.88,step
24,0.147765,229,1521.88,fracture_detected
25,0.149755,229,2987.79,step
25,0.149755,229,2987.79,fracture_detected
26,0.151745,229,865.859,step
26,0.151745,229,865.859,fracture_detected
27,0.153735,229,733.177,step
27,0.153735,229,733.177,fracture_detected
28,0.155726,229,257.332,step
28,0.155726,229,257.332,fracture_detected
29,0.157716,229,111.818,step
29,0.157716,229,111.818,fracture_detected
30,0.159706,229,570.456,step
30,0.159706,229,570.456,fracture_detected
31,0.161696,229,322.808,step
31,0.161696,229,322.808,fracture_detected
32,0.163686,229,29.4219,step
32,0.163686,229,29.4219,fracture_detected
33,0.165677,229,1946.54,step
33,0.165677,229,1946.54,fracture_detected
34,0.167667,229,2470.67,step
34,0.167667,229,2470.67,fracture_detected
35,0.169657,229,26.5463,step
