edge_index,u,v,color
0,0,1,2
1,0,2,1
2,0,3,2
3,0,4,2
4,0,5,2
5,0,6,2
6,0,7,2
7,0,8,0
8,0,9,0
9,0,10,2
10,0,11,0
11,0,12,2
12,0,13,1
13,0,14,0
14,0,15,2
15,0,16,2
16,0,17,1
17,0,18,0
18,0,19,0
19,0,20,0
20,0,21,2
21,0,22,0
22,0,23,0
23,0,24,1
24,0,25,1
25,0,26,0
26,0,27,0
27,0,28,1
28,0,29,0
29,0,30,1
30,0,31,2
31,0,32,2
32,0,33,2
33,0,34,0
34,0,35,2
35,0,36,1
36,0,37,1
37,0,38,1
38,0,39,2
39,0,40,1
40,0,41,0
41,0,42,2
42,0,43,1
43,0,44,2
44,0,45,2
45,0,46,0
46,0,47,1
47,0,48,0
48,0,49,0
49,0,50,0
50,0,51,1
51,1,2,0
52,1,3,1
53,1,4,0
54,1,5,2
55,1,6,1
56,1,7,1
57,1,8,1
58,1,9,0
59,1,10,1
60,1,11,1
61,1,12,0
62,1,13,2
63,1,14,2
64,1,15,1
65,1,16,0
66,1,17,0
67,1,18,2
68,1,19,1
69,1,20,1
70,1,21,0
71,1,22,2
72,1,23,2
73,1,24,1
74,1,25,2
75,1,26,2
76,1,27,0
77,1,28,2
78,1,29,2
79,1,30,2
80,1,31,1
81,1,32,1
82,1,33,2
83,1,34,0
84,1,35,1
85,1,36,0
86,1,37,0
87,1,38,2
88,1,39,2
89,1,40,2
90,1,41,2
91,1,42,0
92,1,43,1
93,1,44,0
94,1,45,1
95,1,46,1
96,1,47,0
97,1,48,1
98,1,49,2
99,1,50,0
100,1,51,0
101,2,3,1
102,2,4,0
103,2,5,0
104,2,6,2
105,2,7,0
106,2,8,2
107,2,9,2
108,2,10,1
109,2,11,1
110,2,12,1
111,2,13,0
112,2,14,0
113,2,15,1
114,2,16,2
115,2,17,2
116,2,18,1
117,2,19,2
118,2,20,2
119,2,21,2
120,2,22,0
121,2,23,0
122,2,24,1
123,2,25,2
124,2,26,0
125,2,27,0
126,2,28,0
127,2,29,2
128,2,30,2
129,2,31,1
130,2,32,2
131,2,33,0
132,2,34,1
133,2,35,0
134,2,36,1
135,2,37,1
136,2,38,0
137,2,39,0
138,2,40,2
139,2,41,1
140,2,42,0
141,2,43,0
142,2,44,1
143,2,45,0
144,2,46,0
145,2,47,0
146,2,48,0
147,2,49,2
148,2,50,0
149,2,51,1
150,3,4,0
151,3,5,0
152,3,6,0
153,3,7,2
154,3,8,2
155,3,9,1
156,3,10,1
157,3,11,0
158,3,12,0
159,3,13,0
160,3,14,1
161,3,15,2
162,3,16,1
163,3,17,0
164,3,18,0
165,3,19,1
166,3,20,1
167,3,21,2
168,3,22,0
169,3,23,2
170,3,24,1
171,3,25,1
172,3,26,1
173,3,27,1
174,3,28,2
175,3,29,0
176,3,30,0
177,3,31,1
178,3,32,0
179,3,33,2
180,3,34,1
181,3,35,0
182,3,36,2
183,3,37,2
184,3,38,1
185,3,39,1
186,3,40,2
187,3,41,0
188,3,42,2
189,3,43,0
190,3,44,1
191,3,45,1
192,3,46,0
193,3,47,0
194,3,48,2
195,3,49,2
196,3,50,2
197,3,51,0
198,4,5,2
199,4,6,1
200,4,7,0
201,4,8,2
202,4,9,2
203,4,10,2
204,4,11,0
205,4,12,2
206,4,13,0
207,4,14,1
208,4,15,0
209,4,16,2
210,4,17,0
211,4,18,2
212,4,19,0
213,4,20,0
214,4,21,2
215,4,22,2
216,4,23,1
217,4,24,0
218,4,25,1
219,4,26,2
220,4,27,1
221,4,28,1
222,4,29,1
223,4,30,0
224,4,31,1
225,4,32,1
226,4,33,0
227,4,34,1
228,4,35,0
229,4,36,0
230,4,37,1
231,4,38,0
232,4,39,2
233,4,40,1
234,4,41,2
235,4,42,2
236,4,43,1
237,4,44,1
238,4,45,1
239,4,46,2
240,4,47,2
241,4,48,2
242,4,49,2
243,4,50,0
244,4,51,2
245,5,6,1
246,5,7,0
247,5,8,0
248,5,9,2
249,5,10,2
250,5,11,1
251,5,12,1
252,5,13,1
253,5,14,1
254,5,15,1
255,5,16,0
256,5,17,0
257,5,18,2
258,5,19,1
259,5,20,0
260,5,21,2
261,5,22,1
262,5,23,0
263,5,24,1
264,5,25,0
265,5,26,2
266,5,27,0
267,5,28,0
268,5,29,0
269,5,30,0
270,5,31,0
271,5,32,1
272,5,33,0
273,5,34,0
274,5,35,2
275,5,36,0
276,5,37,2
277,5,38,1
278,5,39,0
279,5,40,1
280,5,41,2
281,5,42,1
282,5,43,1
283,5,44,2
284,5,45,1
285,5,46,1
286,5,47,0
287,5,48,2
288,5,49,1
289,5,50,2
290,5,51,2
291,6,7,0
292,6,8,2
293,6,9,2
294,6,10,2
295,6,11,0
296,6,12,0
297,6,13,1
298,6,14,2
299,6,15,2
300,6,16,1
301,6,17,1
302,6,18,2
303,6,19,0
304,6,20,2
305,6,21,0
306,6,22,1
307,6,23,0
308,6,24,1
309,6,25,0
310,6,26,0
311,6,27,2
312,6,28,0
313,6,29,2
314,6,30,2
315,6,31,0
316,6,32,2
317,6,33,0
318,6,34,2
319,6,35,0
320,6,36,2
321,6,37,1
322,6,38,1
323,6,39,1
324,6,40,0
325,6,41,2
326,6,42,0
327,6,43,1
328,6,44,2
329,6,45,0
330,6,46,0
331,6,47,2
332,6,48,0
333,6,49,0
334,6,50,0
335,6,51,2
336,7,8,1
337,7,9,2
338,7,10,1
339,7,11,2
340,7,12,1
341,7,13,2
342,7,14,1
343,7,15,2
344,7,16,0
345,7,17,0
346,7,18,1
347,7,19,2
348,7,20,1
349,7,21,2
350,7,22,1
351,7,23,1
352,7,24,1
353,7,25,0
354,7,26,1
355,7,27,0
356,7,28,1
357,7,29,2
358,7,30,2
359,7,31,1
360,7,32,0
361,7,33,0
362,7,34,0
363,7,35,0
364,7,36,1
365,7,37,1
366,7,38,2
367,7,39,1
368,7,40,2
369,7,41,2
370,7,42,1
371,7,43,0
372,7,44,0
373,7,45,1
374,7,46,0
375,7,47,1
376,7,48,2
377,7,49,2
378,7,50,1
379,7,51,0
380,8,9,2
381,8,10,0
382,8,11,2
383,8,12,1
384,8,13,2
385,8,14,1
386,8,15,0
387,8,16,0
388,8,17,2
389,8,18,1
390,8,19,0
391,8,20,2
392,8,21,0
393,8,22,1
394,8,23,0
395,8,24,0
396,8,25,2
397,8,26,2
398,8,27,0
399,8,28,1
400,8,29,1
401,8,30,1
402,8,31,2
403,8,32,1
404,8,33,2
405,8,34,1
406,8,35,2
407,8,36,0
408,8,37,2
409,8,38,1
410,8,39,0
411,8,40,2
412,8,41,0
413,8,42,2
414,8,43,0
415,8,44,1
416,8,45,0
417,8,46,0
418,8,47,0
419,8,48,2
420,8,49,2
421,8,50,2
422,8,51,1
423,9,10,0
424,9,11,1
425,9,12,1
426,9,13,1
427,9,14,0
428,9,15,0
429,9,16,2
430,9,17,0
431,9,18,0
432,9,19,1
433,9,20,0
434,9,21,0
435,9,22,1
436,9,23,2
437,9,24,2
438,9,25,0
439,9,26,1
440,9,27,2
441,9,28,0
442,9,29,2
443,9,30,1
444,9,31,1
445,9,32,1
446,9,33,2
447,9,34,2
448,9,35,1
449,9,36,1
450,9,37,0
451,9,38,0
452,9,39,0
453,9,40,0
454,9,41,2
455,9,42,1
456,9,43,0
457,9,44,2
458,9,45,1
459,9,46,2
460,9,47,1
461,9,48,0
462,9,49,0
463,9,50,0
464,9,51,1
465,10,11,1
466,10,12,0
467,10,13,0
468,10,14,2
469,10,15,2
470,10,16,0
471,10,17,1
472,10,18,0
473,10,19,2
474,10,20,0
475,10,21,0
476,10,22,0
477,10,23,2
478,10,24,2
479,10,25,1
480,10,26,2
481,10,27,0
482,10,28,0
483,10,29,2
484,10,30,0
485,10,31,1
486,10,32,1
487,10,33,2
488,10,34,0
489,10,35,0
490,10,36,2
491,10,37,1
492,10,38,1
493,10,39,1
494,10,40,1
495,10,41,1
496,10,42,0
497,10,43,1
498,10,44,0
499,10,45,0
500,10,46,0
501,10,47,2
502,10,48,2
503,10,49,2
504,10,50,2
505,10,51,0
506,11,12,2
507,11,13,2
508,11,14,0
509,11,15,0
510,11,16,1
511,11,17,0
512,11,18,2
513,11,19,2
514,11,20,2
515,11,21,0
516,11,22,2
517,11,23,1
518,11,24,2
519,11,25,2
520,11,26,1
521,11,27,0
522,11,28,0
523,11,29,0
524,11,30,0
525,11,31,0
526,11,32,0
527,11,33,2
528,11,34,0
529,11,35,1
530,11,36,2
531,11,37,0
532,11,38,0
533,11,39,0
534,11,40,1
535,11,41,0
536,11,42,1
537,11,43,2
538,11,44,0
539,11,45,0
540,11,46,2
541,11,47,1
542,11,48,0
543,11,49,2
544,11,50,2
545,11,51,2
546,12,13,2
547,12,14,1
548,12,15,1
549,12,16,2
550,12,17,0
551,12,18,2
552,12,19,1
553,12,20,2
554,12,21,0
555,12,22,1
556,12,23,0
557,12,24,2
558,12,25,1
559,12,26,1
560,12,27,1
561,12,28,2
562,12,29,1
563,12,30,2
564,12,31,0
565,12,32,2
566,12,33,0
567,12,34,1
568,12,35,0
569,12,36,0
570,12,37,0
571,12,38,1
572,12,39,0
573,12,40,1
574,12,41,0
575,12,42,0
576,12,43,0
577,12,44,2
578,12,45,0
579,12,46,1
580,12,47,2
581,12,48,2
582,12,49,1
583,12,50,0
584,12,51,2
585,13,14,1
586,13,15,0
587,13,16,1
588,13,17,0
589,13,18,1
590,13,19,2
591,13,20,0
592,13,21,2
593,13,22,2
594,13,23,2
595,13,24,1
596,13,25,1
597,13,26,0
598,13,27,1
599,13,28,0
600,13,29,2
601,13,30,1
602,13,31,1
603,13,32,2
604,13,33,1
605,13,34,1
606,13,35,2
607,13,36,0
608,13,37,2
609,13,38,0
610,13,39,1
611,13,40,0
612,13,41,1
613,13,42,1
614,13,43,0
615,13,44,1
616,13,45,1
617,13,46,1
618,13,47,2
619,13,48,1
620,13,49,0
621,13,50,2
622,13,51,0
623,14,15,0
624,14,16,1
625,14,17,1
626,14,18,2
627,14,19,0
628,14,20,0
629,14,21,1
630,14,22,2
