u,v,color
0,1,0
0,2,0
0,3,0
0,4,2
0,5,2
0,6,1
0,7,1
0,8,0
0,9,1
0,10,0
0,11,1
0,12,0
0,13,2
0,14,2
0,15,0
0,16,1
0,17,1
0,18,0
0,19,2
0,20,1
0,21,2
0,22,2
0,23,0
0,24,1
0,25,1
0,26,1
0,27,1
0,28,2
0,29,1
0,30,2
0,31,1
0,32,2
0,33,1
0,34,0
0,35,1
0,36,1
0,37,0
0,38,2
0,39,0
0,40,0
0,41,1
0,42,2
0,43,0
0,44,2
0,45,1
0,46,2
0,47,2
0,48,0
0,49,2
0,50,0
0,51,1
0,52,0
0,53,2
0,54,2
1,2,0
1,3,0
1,4,0
1,5,2
1,6,0
1,7,0
1,8,2
1,9,0
1,10,2
1,11,0
1,12,2
1,13,1
1,14,2
1,15,2
1,16,2
1,17,2
1,18,1
1,19,2
1,20,0
1,21,0
1,22,1
1,23,2
1,24,0
1,25,1
1,26,1
1,27,1
1,28,0
1,29,2
1,30,2
1,31,0
1,32,1
1,33,2
1,34,2
1,35,2
1,36,2
1,37,1
1,38,1
1,39,0
1,40,1
1,41,1
1,42,0
1,43,1
1,44,1
1,45,1
1,46,1
1,47,2
1,48,2
1,49,0
1,50,2
1,51,1
1,52,0
1,53,0
1,54,1
2,3,0
2,4,0
2,5,1
2,6,2
2,7,1
2,8,1
2,9,1
2,10,1
2,11,2
2,12,1
2,13,1
2,14,2
2,15,1
2,16,0
2,17,2
2,18,2
2,19,2
2,20,2
2,21,1
2,22,1
2,23,0
2,24,2
2,25,0
2,26,1
2,27,0
2,28,0
2,29,0
2,30,2
2,31,1
2,32,1
2,33,0
2,34,1
2,35,0
2,36,1
2,37,2
2,38,2
2,39,2
2,40,2
2,41,0
2,42,0
2,43,2
2,44,0
2,45,0
2,46,0
2,47,2
2,48,1
2,49,1
2,50,1
2,51,0
2,52,0
2,53,0
2,54,0
3,4,2
3,5,1
3,6,1
3,7,2
3,8,2
3,9,1
3,10,0
3,11,1
3,12,1
3,13,2
3,14,2
3,15,0
3,16,1
3,17,2
3,18,1
3,19,2
3,20,1
3,21,2
3,22,0
3,23,0
3,24,0
3,25,1
3,26,0
3,27,1
3,28,2
3,29,1
3,30,1
3,31,2
3,32,1
3,33,1
3,34,1
3,35,1
3,36,1
3,37,1
3,38,1
3,39,1
3,40,0
3,41,1
3,42,1
3,43,1
3,44,0
3,45,0
3,46,0
3,47,2
3,48,2
3,49,0
3,50,2
3,51,0
3,52,1
3,53,1
3,54,0
4,5,2
4,6,0
4,7,1
4,8,2
4,9,2
4,10,1
4,11,2
4,12,0
4,13,1
4,14,1
4,15,0
4,16,1
4,17,1
4,18,1
4,19,2
4,20,2
4,21,1
4,22,2
4,23,0
4,24,0
4,25,2
4,26,0
4,27,1
4,28,0
4,29,0
4,30,1
4,31,1
4,32,1
4,33,0
4,34,1
4,35,1
4,36,0
4,37,2
4,38,2
4,39,2
4,40,1
4,41,2
4,42,0
4,43,2
4,44,1
4,45,1
4,46,0
4,47,1
4,48,2
4,49,0
4,50,0
4,51,2
4,52,1
4,53,1
4,54,0
5,6,0
5,7,1
5,8,2
5,9,1
5,10,1
5,11,1
5,12,2
5,13,0
5,14,2
5,15,1
5,16,1
5,17,0
5,18,0
5,19,0
5,20,0
5,21,1
5,22,0
5,23,1
5,24,0
5,25,2
5,26,0
5,27,0
5,28,1
5,29,2
5,30,2
5,31,1
5,32,1
5,33,1
5,34,1
5,35,1
5,36,0
5,37,1
5,38,0
5,39,2
5,40,2
5,41,1
5,42,0
