step,beta,energy
0,0.100053,282
10,0.100585,279
20,0.101119,281
30,0.101656,279
40,0.102196,274
50,0.102739,267
60,0.103285,271
70,0.103833,273
80,0.104385,280
90,0.10494,265
100,0.105497,270
110,0.106058,266
120,0.106621,266
130,0.107187,269
140,0.107757,276
150,0.108329,273
160,0.108905,278
170,0.109483,274
180,0.110065,277
190,0.11065,277
200,0.111237,277
210,0.111828,273
220,0.112422,278
230,0.11302,270
240,0.11362,268
250,0.114224,265
260,0.11483,265
270,0.11544,270
280,0.116054,264
290,0.11667,256
300,0.11729,261
310,0.117913,261
320,0.118539,252
330,0.119169,250
340,0.119802,248
350,0.120439,251
360,0.121079,253
370,0.121722,250
380,0.122368,245
390,0.123018,238
400,0.123672,238
410,0.124329,231
420,0.124989,234
430,0.125653,238
440,0.126321,235
450,0.126992,234
460,0.127667,225
470,0.128345,221
480,0.129027,215
490,0.129712,213
500,0.130401,214
510,0.131094,220
520,0.13179,222
530,0.13249,216
540,0.133194,217
550,0.133902,215
560,0.134613,216
570,0.135328,218
580,0.136047,220
590,0.13677,219
600,0.137497,221
610,0.138227,222
620,0.138961,222
630,0.1397,227
640,0.140442,231
650,0.141188,237
660,0.141938,239
670,0.142692,240
680,0.14345,235
690,0.144212,241
700,0.144978,236
710,0.145748,241
720,0.146522,241
730,0.147301,245
740,0.148083,252
750,0.14887,257
760,0.149661,255
770,0.150456,251
780,0.151255,247
790,0.152059,249
800,0.152867,242
810,0.153679,244
820,0.154495,237
830,0.155316,244
840,0.156141,244
850,0.15697,244
860,0.157804,250
870,0.158643,253
880,0.159485,244
890,0.160333,242
900,0.161184,243
910,0.162041,248
920,0.162901,251
930,0.163767,254
940,0.164637,251
950,0.165511,244
960,0.166391,239
970,0.167275,236
980,0.168163,232
990,0.169057,232
1000,0.169955,238
1010,0.170858,236
1020,0.171765,227
1030,0.172678,225
1040,0.173595,225
1050,0.174517,236
1060,0.175444,231
1070,0.176376,234
1080,0.177313,232
1090,0.178255,240
1100,0.179202,245
1110,0.180154,242
1120,0.181111,240
1130,0.182073,236
1140,0.183041,230
1150,0.184013,225
1160,0.184991,231
1170,0.185973,234
1180,0.186961,230
1190,0.187954,232
1200,0.188953,234
1210,0.189957,236
1220,0.190966,235
1230,0.19198,241
1240,0.193,229
1250,0.194026,235
1260,0.195056,229
1270,0.196092,233
1280,0.197134,224
1290,0.198181,219
1300,0.199234,221
1310,0.200293,231
1320,0.201357,231
1330,0.202426,223
1340,0.203502,225
1350,0.204583,224
1360,0.20567,228
1370,0.206762,229
1380,0.207861,235
1390,0.208965,226
1400,0.210075,234
1410,0.211191,228
1420,0.212313,230
1430,0.213441,225
