step,beta,energy,rho,event
0,0.01,1.81136e+12,0,step
1,0.0350376,4.82048e+09,4.18736e+10,step
1,0.0350376,4.82048e+09,4.18736e+10,fracture_detected
2,0.0600752,4.82048e+09,4.23971e+10,step
2,0.0600752,4.82048e+09,4.23971e+10,fracture_detected
2,0.0600752,3.62411e+09,4.23971e+10,branch_jump
3,0.0851128,4.82048e+09,3.40583e+11,step
3,0.0851128,4.82048e+09,3.40583e+11,fracture_detected
4,0.11015,4.82048e+09,2.17547e+11,step
4,0.11015,4.82048e+09,2.17547e+11,fracture_detected
5,0.135188,4.82048e+09,1.37265e+10,step
5,0.135188,4.82048e+09,1.37265e+10,fracture_detected
6,0.160226,4.82048e+09,9.6581e+10,step
6,0.160226,4.82048e+09,9.6581e+10,fracture_detected
7,0.185263,4.82048e+09,3.86626e+11,step
7,0.185263,4.82048e+09,3.86626e+11,fracture_detected
8,0.210301,4.82048e+09,3.76714e+11,step
8,0.210301,4.82048e+09,3.76714e+11,fracture_detected
8,0.210301,1.03233e+09,3.76714e+11,branch_jump
9,0.235338,4.82048e+09,4.07913e+11,step
9,0.235338,4.82048e+09,4.07913e+11,fracture_detected
10,0.260376,4.82048e+09,2.51679e+11,step
10,0.260376,4.82048e+09,2.51679e+11,fracture_detected
11,0.285414,4.82048e+09,4.32947e+11,step
11,0.285414,4.82048e+09,4.32947e+11,fracture_detected
12,0.310451,4.82048e+09,2.52819e+11,step
12,0.310451,4.82048e+09,2.52819e+11,fracture_detected
13,0.335489,4.82048e+09,7.2696e+11,step
13,0.335489,4.82048e+09,7.2696e+11,fracture_detected
14,0.360526,4.82048e+09,2.19393e+10,step
14,0.360526,4.82048e+09,2.19393e+10,fracture_detected
15,0.385564,4.82048e+09,5.66806e+11,step
15,0.385564,4.82048e+09,5.66806e+11,fracture_detected
16,0.410602,4.82048e+09,6.02189e+11,step
16,0.410602,4.82048e+09,6.02189e+11,fracture_detected
17,0.435639,4.82048e+09,1.57542e+12,step
