step,beta,energy,rho,event
0,0.01,31,0,step
1,0.0350376,31,27.7252,step
1,0.0350376,31,27.7252,fracture_detected
1,0.0350376,4,27.7252,branch_jump
2,0.0600752,31,26.0371,step
2,0.0600752,31,26.0371,fracture_detected
3,0.0851128,31,24.2201,step
3,0.0851128,31,24.2201,fracture_detected
4,0.11015,31,28.2365,step
4,0.11015,31,28.2365,fracture_detected
5,0.135188,24,26.334,step
5,0.135188,24,26.334,fracture_detected
6,0.160226,20,27.9545,step
6,0.160226,20,27.9545,fracture_detected
7,0.185263,21,18.8972,step
7,0.185263,21,18.8972,fracture_detected
7,0.185263,2,18.8972,branch_jump
8,0.210301,20,15.0778,step
8,0.210301,20,15.0778,fracture_detected
9,0.235338,21,24.1935,step
9,0.235338,21,24.1935,fracture_detected
10,0.260376,20,22.8782,step
10,0.260376,20,22.8782,fracture_detected
11,0.285414,19,33.2269,step
11,0.285414,19,33.2269,fracture_detected
12,0.310451,18,11.9355,step
12,0.310451,18,11.9355,fracture_detected
13,0.335489,19,32.8267,step
13,0.335489,19,32.8267,fracture_detected
14,0.360526,18,8.96038,step
14,0.360526,18,8.96038,fracture_detected
15,0.385564,19,20.0103,step
15,0.385564,19,20.0103,fracture_detected
16,0.410602,18,25.4429,step
16,0.410602,18,25.4429,fracture_detected
17,0.435639,19,26.1613,step
17,0.435639,19,26.1613,fracture_detected
18,0.460677,18,9.35362,step
18,0.460677,18,9.35362,fracture_detected
19,0.485714,19,34.3289,step
19,0.485714,19,34.3289,fracture_detected
20,0.510752,18,12.6564,step
20,0.510752,18,12.6564,fracture_detected
21,0.535789,19,28.8422,step
21,0.535789,19,28.8422,fracture_detected
22,0.560827,18,11.237,step
22,0.560827,18,11.237,fracture_detected
23,0.585865,19,18.0079,step
23,0.585865,19,18.0079,fracture_detected
24,0.610902,18,54.5856,step
24,0.610902,18,54.5856,fracture_detected
25,0.63594,19,17.7387,step
25,0.63594,19,17.7387,fracture_detected
26,0.660977,16,59.9056,step
26,0.660977,16,59.9056,fracture_detected
27,0.686015,16,39.6058,step
27,0.686015,16,39.6058,fracture_detected
28,0.711053,12,31.4792,step
28,0.711053,12,31.4792,fracture_detected
29,0.73609,12,18.1949,step
29,0.73609,12,18.1949,fracture_detected
30,0.761128,12,30.1919,step
30,0.761128,12,30.1919,fracture_detected
31,0.786165,12,56.0401,step
31,0.786165,12,56.0401,fracture_detected
32,0.811203,12,56.6674,step
32,0.811203,12,56.6674,fracture_detected
33,0.836241,12,69.1112,step
33,0.836241,12,69.1112,fracture_detected
34,0.861278,12,10.4396,step
34,0.861278,12,10.4396,fracture_detected
35,0.886316,12,31.2248,step
35,0.886316,12,31.2248,fracture_detected
36,0.911353,12,102.532,step
36,0.911353,12,102.532,fracture_detected
37,0.936391,12,25.0371,step
37,0.936391,12,25.0371,fracture_detected
38,0.961429,12,100.485,step
38,0.961429,12,100.485,fracture_detected
39,0.986466,12,117.46,step
39,0.986466,12,117.46,fracture_detected
40,1.0115,12,12.8481,step
40,1.0115,12,12.8481,fracture_detected
41,1.03654,12,7.53392,step
41,1.03654,12,7.53392,fracture_detected
42,1.06158,12,78.1302,step
42,1.06158,12,78.1302,fracture_detected
43,1.08662,12,92.4882,step
43,1.08662,12,92.4882,fracture_detected
44,1.11165,12,78.9916,step
44,1.11165,12,78.9916,fracture_detected
45,1.13669,10,65.4035,step
45,1.13669,10,65.4035,fracture_detected
46,1.16173,10,49.8934,step
46,1.16173,10,49.8934,fracture_detected
47,1.18677,10,109.36,step
47,1.18677,10,109.36,fracture_detected
48,1.2118,10,73.9191,step
48,1.2118,10,73.9191,fracture_detected
49,1.23684,8,5.16493,step
49,1.23684,8,5.16493,fracture_detected
50,1.26188,8,133.029,step
50,1.26188,8,133.029,fracture_detected
51,1.28692,8,124.218,step
51,1.28692,8,124.218,fracture_detected
52,1.31195,7,123.85,step
52,1.31195,7,123.85,fracture_detected
53,1.33699,7,142.568,step
53,1.33699,7,142.568,fracture_detected
54,1.36203,7,118.756,step
54,1.36203,7,118.756,fracture_detected
55,1.38707,7,91.1773,step
55,1.38707,7,91.1773,fracture_detected
56,1.41211,6,110.774,step
56,1.41211,6,110.774,fracture_detected
57,1.43714,5,192.108,step
57,1.43714,5,192.108,fracture_detected
58,1.46218,5,261.205,step
58,1.46218,5,261.205,fracture_detected
59,1.48722,6,166.724,step
59,1.48722,6,166.724,fracture_detected
60,1.51226,5,57.9966,step
60,1.51226,5,57.9966,fracture_detected
61,1.53729,5,120.948,step
61,1.53729,5,120.948,fracture_detected
62,1.56233,6,63.4379,step
62,1.56233,6,63.4379,fracture_detected
63,1.58737,5,147.117,step
63,1.58737,5,147.117,fracture_detected
64,1.61241,6,110.934,step
64,1.61241,6,110.934,fracture_detected
65,1.63744,5,24.1515,step
65,1.63744,5,24.1515,fracture_detected
66,1.66248,6,157.59,step
66,1.66248,6,157.59,fracture_detected
67,1.68752,5,150.855,step
67,1.68752,5,150.855,fracture_detected
68,1.71256,6,93.3594,step
68,1.71256,6,93.3594,fracture_detected
69,1.73759,5,287.057,step
69,1.73759,5,287.057,fracture_detected
70,1.76263,6,190.014,step
70,1.76263,6,190.014,fracture_detected
71,1.78767,5,284.706,step
71,1.78767,5,284.706,fracture_detected
72,1.81271,6,186.933,step
72,1.81271,6,186.933,fracture_detected
73,1.83774,5,198.101,step
73,1.83774,5,198.101,fracture_detected
74,1.86278,6,234.796,step
74,1.86278,6,234.796,fracture_detected
75,1.88782,5,10.7648,step
75,1.88782,5,10.7648,fracture_detected
76,1.91286,6,244.557,step
76,1.91286,6,244.557,fracture_detected
77,1.93789,5,130.066,step
77,1.93789,5,130.066,fracture_detected
78,1.96293,5,87.832,step
78,1.96293,5,87.832,fracture_detected
79,1.98797,5,250.031,step
79,1.98797,5,250.031,fracture_detected
80,2.01301,6,69.5033,step
80,2.01301,6,69.5033,fracture_detected
81,2.03805,5,105.821,step
81,2.03805,5,105.821,fracture_detected
82,2.06308,6,69.549,step
82,2.06308,6,69.549,fracture_detected
83,2.08812,5,200.209,step
83,2.08812,5,200.209,fracture_detected
84,2.11316,5,221.041,step
84,2.11316,5,221.041,fracture_detected
85,2.1382,5,8.2012,step
85,2.1382,5,8.2012,fracture_detected
86,2.16323,5,109.638,step
86,2.16323,5,109.638,fracture_detected
87,2.18827,5,418.724,step
87,2.18827,5,418.724,fracture_detected
88,2.21331,6,507.766,step
88,2.21331,6,507.766,fracture_detected
89,2.23835,5,37.8183,step
89,2.23835,5,37.8183,fracture_detected
90,2.26338,5,64.4082,step
90,2.26338,5,64.4082,fracture_detected
91,2.28842,6,303.643,step
91,2.28842,6,303.643,fracture_detected
92,2.31346,5,290.779,step
92,2.31346,5,290.779,fracture_detected
93,2.3385,5,80.277,step
93,2.3385,5,80.277,fracture_detected
94,2.36353,5,165.036,step
94,2.36353,5,165.036,fracture_detected
95,2.38857,5,90.762,step
95,2.38857,5,90.762,fracture_detected
96,2.41361,5,53.8497,step
96,2.41361,5,53.8497,fracture_detected
97,2.43865,5,159.395,step
97,2.43865,5,159.395,fracture_detected
98,2.46368,5,102.636,step
98,2.46368,5,102.636,fracture_detected
99,2.48872,7,354.737,step
99,2.48872,7,354.737,fracture_detected
100,2.51376,5,214.886,step
100,2.51376,5,214.886,fracture_detected
101,2.5388,6,183.699,step
101,2.5388,6,183.699,fracture_detected
102,2.56383,5,88.1647,step
102,2.56383,5,88.1647,fracture_detected
103,2.58887,5,498.051,step
103,2.58887,5,498.051,fracture_detected
104,2.61391,5,210.818,step
104,2.61391,5,210.818,fracture_detected
105,2.63895,5,564.658,step
105,2.63895,5,564.658,fracture_detected
106,2.66398,5,333.368,step
106,2.66398,5,333.368,fracture_detected
107,2.68902,5,13.8948,step
107,2.68902,5,13.8948,fracture_detected
108,2.71406,5,132.144,step
108,2.71406,5,132.144,fracture_detected
109,2.7391,5,353.909,step
109,2.7391,5,353.909,fracture_detected
110,2.76414,5,172.508,step
110,2.76414,5,172.508,fracture_detected
111,2.78917,6,18.6313,step
111,2.78917,6,18.6313,fracture_detected
112,2.81421,5,94.4805,step
112,2.81421,5,94.4805,fracture_detected
113,2.83925,5,102.888,step
113,2.83925,5,102.888,fracture_detected
114,2.86429,5,182.953,step
114,2.86429,5,182.953,fracture_detected
115,2.88932,5,128.115,step
115,2.88932,5,128.115,fracture_detected
116,2.91436,5,419.117,step
116,2.91436,5,419.117,fracture_detected
117,2.9394,6,384.846,step
117,2.9394,6,384.846,fracture_detected
118,2.96444,5,220.786,step
118,2.96444,5,220.786,fracture_detected
119,2.98947,5,489.249,step
119,2.98947,5,489.249,fracture_detected
120,3.01451,5,103.887,step
120,3.01451,5,103.887,fracture_detected
121,3.03955,5,100.569,step
121,3.03955,5,100.569,fracture_detected
122,3.06459,5,15.9096,step
122,3.06459,5,15.9096,fracture_detected
123,3.08962,5,16.0869,step
123,3.08962,5,16.0869,fracture_detected
124,3.11466,5,16.0013,step
124,3.11466,5,16.0013,fracture_detected
125,3.1397,5,109.548,step
125,3.1397,5,109.548,fracture_detected
126,3.16474,5,390.902,step
126,3.16474,5,390.902,fracture_detected
127,3.18977,5,106.226,step
127,3.18977,5,106.226,fracture_detected
128,3.21481,5,139.633,step
128,3.21481,5,139.633,fracture_detected
129,3.23985,5,275.532,step
129,3.23985,5,275.532,fracture_detected
130,3.26489,5,215.084,step
130,3.26489,5,215.084,fracture_detected
131,3.28992,5,277.286,step
131,3.28992,5,277.286,fracture_detected
132,3.31496,5,8.95938,step
132,3.31496,5,8.95938,fracture_detected
133,3.34,6,17.4095,step
133,3.34,6,17.4095,fracture_detected
134,3.36504,5,18.0841,step
134,3.36504,5,18.0841,fracture_detected
135,3.39008,5,17.5244,step
135,3.39008,5,17.5244,fracture_detected
136,3.41511,5,81.1011,step
136,3.41511,5,81.1011,fracture_detected
137,3.44015,5,396.399,step
137,3.44015,5,396.399,fracture_detected
138,3.46519,5,568.537,step
138,3.46519,5,568.537,fracture_detected
139,3.49023,5,159.543,step
139,3.49023,5,159.543,fracture_detected
140,3.51526,5,539.05,step
140,3.51526,5,539.05,fracture_detected
141,3.5403,5,12.6725,step
141,3.5403,5,12.6725,fracture_detected
142,3.56534,5,124.149,step
142,3.56534,5,124.149,fracture_detected
143,3.59038,6,300.71,step
143,3.59038,6,300.71,fracture_detected
144,3.61541,5,19.173,step
144,3.61541,5,19.173,fracture_detected
145,3.64045,5,157.431,step
145,3.64045,5,157.431,fracture_detected
146,3.66549,5,124.487,step
146,3.66549,5,124.487,fracture_detected
147,3.69053,5,131.26,step
147,3.69053,5,131.26,fracture_detected
148,3.71556,5,285.617,step
148,3.71556,5,285.617,fracture_detected
149,3.7406,5,103.232,step
149,3.7406,5,103.232,fracture_detected
150,3.76564,5,583.636,step
150,3.76564,5,583.636,fracture_detected
151,3.79068,5,138.399,step
151,3.79068,5,138.399,fracture_detected
152,3.81571,5,468.308,step
152,3.81571,5,468.308,fracture_detected
153,3.84075,5,321.802,step
153,3.84075,5,321.802,fracture_detected
154,3.86579,5,17.0058,step
154,3.86579,5,17.0058,fracture_detected
155,3.89083,5,603.717,step
155,3.89083,5,603.717,fracture_detected
156,3.91586,5,766.901,step
156,3.91586,5,766.901,fracture_detected
157,3.9409,5,740.916,step
157,3.9409,5,740.916,fracture_detected
158,3.96594,5,13.0157,step
158,3.96594,5,13.0157,fracture_detected
159,3.99098,5,491.184,step
159,3.99098,5,491.184,fracture_detected
160,4.01602,5,307.701,step
160,4.01602,5,307.701,fracture_detected
161,4.04105,5,275.712,step
161,4.04105,5,275.712,fracture_detected
162,4.06609,5,633.573,step
162,4.06609,5,633.573,fracture_detected
163,4.09113,5,1153.8,step
163,4.09113,5,1153.8,fracture_detected
164,4.11617,5,7.02098,step
164,4.11617,5,7.02098,fracture_detected
165,4.1412,6,45.7489,step
165,4.1412,6,45.7489,fracture_detected
166,4.16624,5,8.6435,step
166,4.16624,5,8.6435,fracture_detected
167,4.19128,5,454.884,step
167,4.19128,5,454.884,fracture_detected
168,4.21632,5,520.051,step
168,4.21632,5,520.051,fracture_detected
169,4.24135,5,318.623,step
169,4.24135,5,318.623,fracture_detected
170,4.26639,5,493.627,step
170,4.26639,5,493.627,fracture_detected
171,4.29143,5,185.4,step
171,4.29143,5,185.4,fracture_detected
172,4.31647,5,187.392,step
172,4.31647,5,187.392,fracture_detected
173,4.3415,5,361.766,step
173,4.3415,5,361.766,fracture_detected
174,4.36654,5,330.269,step
174,4.36654,5,330.269,fracture_detected
175,4.39158,5,16.5104,step
175,4.39158,5,16.5104,fracture_detected
176,4.41662,5,544.701,step
176,4.41662,5,544.701,fracture_detected
177,4.44165,5,363.223,step
177,4.44165,5,363.223,fracture_detected
178,4.46669,5,401.248,step
178,4.46669,5,401.248,fracture_detected
179,4.49173,5,518.741,step
179,4.49173,5,518.741,fracture_detected
180,4.51677,5,196.414,step
180,4.51677,5,196.414,fracture_detected
181,4.5418,5,170.496,step
181,4.5418,5,170.496,fracture_detected
182,4.56684,5,136.501,step
182,4.56684,5,136.501,fracture_detected
183,4.59188,5,382.986,step
183,4.59188,5,382.986,fracture_detected
184,4.61692,5,208.727,step
184,4.61692,5,208.727,fracture_detected
185,4.64195,5,124.025,step
185,4.64195,5,124.025,fracture_detected
186,4.66699,5,169.003,step
186,4.66699,5,169.003,fracture_detected
187,4.69203,5,203.399,step
187,4.69203,5,203.399,fracture_detected
188,4.71707,6,359.428,step
188,4.71707,6,359.428,fracture_detected
189,4.74211,5,555.343,step
189,4.74211,5,555.343,fracture_detected
190,4.76714,5,334.941,step
190,4.76714,5,334.941,fracture_detected
191,4.79218,5,16.0001,step
191,4.79218,5,16.0001,fracture_detected
192,4.81722,5,15.3539,step
192,4.81722,5,15.3539,fracture_detected
193,4.84226,5,16.6437,step
193,4.84226,5,16.6437,fracture_detected
194,4.86729,5,209.787,step
194,4.86729,5,209.787,fracture_detected
195,4.89233,5,373.186,step
195,4.89233,5,373.186,fracture_detected
196,4.91737,5,211.402,step
196,4.91737,5,211.402,fracture_detected
197,4.94241,5,733.845,step
197,4.94241,5,733.845,fracture_detected
198,4.96744,5,503.445,step
198,4.96744,5,503.445,fracture_detected
199,4.99248,5,16.9982,step
199,4.99248,5,16.9982,fracture_detected
200,5.01752,5,383.799,step
200,5.01752,5,383.799,fracture_detected
201,5.04256,5,186.399,step
201,5.04256,5,186.399,fracture_detected
202,5.06759,5,13.7509,step
202,5.06759,5,13.7509,fracture_detected
203,5.09263,5,420.803,step
203,5.09263,5,420.803,fracture_detected
204,5.11767,5,628.497,step
204,5.11767,5,628.497,fracture_detected
205,5.14271,5,596.252,step
205,5.14271,5,596.252,fracture_detected
206,5.16774,5,11.7965,step
206,5.16774,5,11.7965,fracture_detected
207,5.19278,5,250.976,step
207,5.19278,5,250.976,fracture_detected
208,5.21782,5,607.977,step
208,5.21782,5,607.977,fracture_detected
209,5.24286,5,641.362,step
209,5.24286,5,641.362,fracture_detected
210,5.26789,5,403.167,step
210,5.26789,5,403.167,fracture_detected
211,5.29293,5,1028.05,step
211,5.29293,5,1028.05,fracture_detected
212,5.31797,5,785.451,step
212,5.31797,5,785.451,fracture_detected
213,5.34301,5,414.925,step
213,5.34301,5,414.925,fracture_detected
214,5.36805,5,811.722,step
214,5.36805,5,811.722,fracture_detected
215,5.39308,5,875.597,step
215,5.39308,5,875.597,fracture_detected
216,5.41812,5,631.551,step
216,5.41812,5,631.551,fracture_detected
217,5.44316,5,232.579,step
217,5.44316,5,232.579,fracture_detected
218,5.4682,5,452.803,step
218,5.4682,5,452.803,fracture_detected
219,5.49323,5,201.23,step
219,5.49323,5,201.23,fracture_detected
220,5.51827,5,423.959,step
220,5.51827,5,423.959,fracture_detected
221,5.54331,5,236.559,step
221,5.54331,5,236.559,fracture_detected
222,5.56835,5,433.039,step
222,5.56835,5,433.039,fracture_detected
223,5.59338,5,177.935,step
223,5.59338,5,177.935,fracture_detected
224,5.61842,5,10.4612,step
224,5.61842,5,10.4612,fracture_detected
225,5.64346,5,44.7575,step
225,5.64346,5,44.7575,fracture_detected
226,5.6685,5,209.399,step
226,5.6685,5,209.399,fracture_detected
227,5.69353,5,243.264,step
227,5.69353,5,243.264,fracture_detected
228,5.71857,5,646.899,step
228,5.71857,5,646.899,fracture_detected
229,5.74361,5,613.02,step
229,5.74361,5,613.02,fracture_detected
230,5.76865,5,247.655,step
230,5.76865,5,247.655,fracture_detected
231,5.79368,5,444.92,step
231,5.79368,5,444.92,fracture_detected
232,5.81872,5,248.521,step
232,5.81872,5,248.521,fracture_detected
233,5.84376,5,16.9993,step
233,5.84376,5,16.9993,fracture_detected
234,5.8688,5,10.7401,step
234,5.8688,5,10.7401,fracture_detected
235,5.89383,5,190.769,step
235,5.89383,5,190.769,fracture_detected
236,5.91887,5,208.631,step
236,5.91887,5,208.631,fracture_detected
237,5.94391,5,651.319,step
237,5.94391,5,651.319,fracture_detected
238,5.96895,5,1178.11,step
238,5.96895,5,1178.11,fracture_detected
239,5.99398,5,432.01,step
239,5.99398,5,432.01,fracture_detected
240,6.01902,5,682.832,step
240,6.01902,5,682.832,fracture_detected
241,6.04406,5,407.335,step
241,6.04406,5,407.335,fracture_detected
242,6.0691,5,709.196,step
242,6.0691,5,709.196,fracture_detected
243,6.09414,5,745.198,step
243,6.09414,5,745.198,fracture_detected
244,6.11917,5,470.974,step
244,6.11917,5,470.974,fracture_detected
245,6.14421,5,11.5089,step
245,6.14421,5,11.5089,fracture_detected
246,6.16925,5,738.893,step
246,6.16925,5,738.893,fracture_detected
247,6.19429,5,254.98,step
247,6.19429,5,254.98,fracture_detected
248,6.21932,5,31.3458,step
248,6.21932,5,31.3458,fracture_detected
249,6.24436,5,711.819,step
249,6.24436,5,711.819,fracture_detected
250,6.2694,6,706.514,step
250,6.2694,6,706.514,fracture_detected
251,6.29444,5,14.0001,step
251,6.29444,5,14.0001,fracture_detected
252,6.31947,5,995.913,step
252,6.31947,5,995.913,fracture_detected
253,6.34451,5,461.184,step
253,6.34451,5,461.184,fracture_detected
254,6.36955,5,16.07,step
254,6.36955,5,16.07,fracture_detected
255,6.39459,5,526.599,step
255,6.39459,5,526.599,fracture_detected
256,6.41962,5,1263.8,step
256,6.41962,5,1263.8,fracture_detected
257,6.44466,5,1272.25,step
257,6.44466,5,1272.25,fracture_detected
258,6.4697,5,729.451,step
258,6.4697,5,729.451,fracture_detected
259,6.49474,5,503.799,step
259,6.49474,5,503.799,fracture_detected
260,6.51977,5,247.399,step
260,6.51977,5,247.399,fracture_detected
261,6.54481,5,1814.03,step
261,6.54481,5,1814.03,fracture_detected
262,6.56985,5,243.313,step
262,6.56985,5,243.313,fracture_detected
263,6.59489,5,772.225,step
263,6.59489,5,772.225,fracture_detected
264,6.61992,5,1044.87,step
264,6.61992,5,1044.87,fracture_detected
265,6.64496,5,1252.56,step
265,6.64496,5,1252.56,fracture_detected
266,6.67,5,1035.67,step
266,6.67,5,1035.67,fracture_detected
267,6.69504,5,205.47,step
267,6.69504,5,205.47,fracture_detected
268,6.72008,5,822.102,step
268,6.72008,5,822.102,fracture_detected
269,6.74511,5,1057.5,step
269,6.74511,5,1057.5,fracture_detected
270,6.77015,5,16,step
270,6.77015,5,16,fracture_detected
271,6.79519,5,16.0001,step
271,6.79519,5,16.0001,fracture_detected
272,6.82023,5,27.8785,step
272,6.82023,5,27.8785,fracture_detected
273,6.84526,5,760.32,step
273,6.84526,5,760.32,fracture_detected
274,6.8703,5,836.198,step
274,6.8703,5,836.198,fracture_detected
275,6.89534,5,259.399,step
275,6.89534,5,259.399,fracture_detected
276,6.92038,5,540.115,step
276,6.92038,5,540.115,fracture_detected
277,6.94541,5,321.968,step
277,6.94541,5,321.968,fracture_detected
278,6.97045,5,817.083,step
278,6.97045,5,817.083,fracture_detected
279,6.99549,5,546.115,step
279,6.99549,5,546.115,fracture_detected
280,7.02053,5,561.593,step
280,7.02053,5,561.593,fracture_detected
281,7.04556,5,1062.74,step
281,7.04556,5,1062.74,fracture_detected
282,7.0706,5,297.434,step
282,7.0706,5,297.434,fracture_detected
283,7.09564,5,550.799,step
283,7.09564,5,550.799,fracture_detected
284,7.12068,5,298.367,step
284,7.12068,5,298.367,fracture_detected
285,7.14571,5,300.4,step
285,7.14571,5,300.4,fracture_detected
286,7.17075,5,561.115,step
286,7.17075,5,561.115,fracture_detected
287,7.19579,5,816.513,step
287,7.19579,5,816.513,fracture_detected
288,7.22083,5,880.199,step
288,7.22083,5,880.199,fracture_detected
289,7.24586,5,560.77,step
289,7.24586,5,560.77,fracture_detected
290,7.2709,5,306.372,step
290,7.2709,5,306.372,fracture_detected
291,7.29594,5,10.6971,step
291,7.29594,5,10.6971,fracture_detected
292,7.32098,5,247.674,step
292,7.32098,5,247.674,fracture_detected
293,7.34602,5,547.424,step
293,7.34602,5,547.424,fracture_detected
294,7.37105,5,221.05,step
294,7.37105,5,221.05,fracture_detected
295,7.39609,5,580.091,step
295,7.39609,5,580.091,fracture_detected
296,7.42113,5,277.362,step
296,7.42113,5,277.362,fracture_detected
297,7.44617,5,251.703,step
297,7.44617,5,251.703,fracture_detected
298,7.4712,5,569.898,step
298,7.4712,5,569.898,fracture_detected
299,7.49624,5,264.193,step
299,7.49624,5,264.193,fracture_detected
300,7.52128,5,582.788,step
300,7.52128,5,582.788,fracture_detected
301,7.54632,5,43.6843,step
301,7.54632,5,43.6843,fracture_detected
302,7.57135,5,318.379,step
302,7.57135,5,318.379,fracture_detected
303,7.59639,5,17.0206,step
303,7.59639,5,17.0206,fracture_detected
304,7.62143,5,16.9804,step
304,7.62143,5,16.9804,fracture_detected
305,7.64647,5,933.141,step
305,7.64647,5,933.141,fracture_detected
306,7.6715,5,926.843,step
306,7.6715,5,926.843,fracture_detected
307,7.69654,5,44.7033,step
307,7.69654,5,44.7033,fracture_detected
308,7.72158,5,16.9828,step
308,7.72158,5,16.9828,fracture_detected
309,7.74662,5,326.435,step
309,7.74662,5,326.435,fracture_detected
310,7.77165,5,320.084,step
310,7.77165,5,320.084,fracture_detected
311,7.79669,5,312.194,step
311,7.79669,5,312.194,fracture_detected
312,7.82173,5,1500.11,step
312,7.82173,5,1500.11,fracture_detected
313,7.84677,5,1552.3,step
313,7.84677,5,1552.3,fracture_detected
314,7.8718,5,268.7,step
314,7.8718,5,268.7,fracture_detected
315,7.89684,5,929.198,step
315,7.89684,5,929.198,fracture_detected
316,7.92188,5,330.385,step
316,7.92188,5,330.385,fracture_detected
317,7.94692,5,15.0145,step
317,7.94692,5,15.0145,fracture_detected
318,7.97195,5,303.399,step
318,7.97195,5,303.399,fracture_detected
319,7.99699,5,972.198,step
319,7.99699,5,972.198,fracture_detected
320,8.02203,5,623.799,step
320,8.02203,5,623.799,fracture_detected
321,8.04707,5,951.508,step
