step,beta,energy,rho,event
0,0.01,1188.64,0,step
1,0.0350376,1258.38,947.334,step
1,0.0350376,1258.38,947.334,fracture_detected
1,0.0350376,446.031,947.334,branch_jump
2,0.0600752,1188.64,966.513,step
2,0.0600752,1188.64,966.513,fracture_detected
3,0.0851128,1032.66,681.625,step
3,0.0851128,1032.66,681.625,fracture_detected
4,0.11015,919.32,922.34,step
4,0.11015,919.32,922.34,fracture_detected
5,0.135188,803.821,584.534,step
5,0.135188,803.821,584.534,fracture_detected
6,0.160226,727.12,1372.25,step
6,0.160226,727.12,1372.25,fracture_detected
7,0.185263,715.517,1074.87,step
7,0.185263,715.517,1074.87,fracture_detected
8,0.210301,675.277,1080.03,step
8,0.210301,675.277,1080.03,fracture_detected
9,0.235338,643.887,1049.67,step
9,0.235338,643.887,1049.67,fracture_detected
10,0.260376,604.589,743.562,step
10,0.260376,604.589,743.562,fracture_detected
11,0.285414,566.501,443.118,step
11,0.285414,566.501,443.118,fracture_detected
12,0.310451,536.294,2492.93,step
12,0.310451,536.294,2492.93,fracture_detected
13,0.335489,510.972,486.373,step
13,0.335489,510.972,486.373,fracture_detected
14,0.360526,487.102,600.769,step
14,0.360526,487.102,600.769,fracture_detected
15,0.385564,468.036,1227.81,step
15,0.385564,468.036,1227.81,fracture_detected
16,0.410602,465.962,835.302,step
16,0.410602,465.962,835.302,fracture_detected
17,0.435639,468.036,323.38,step
17,0.435639,468.036,323.38,fracture_detected
18,0.460677,465.962,387.043,step
18,0.460677,465.962,387.043,fracture_detected
19,0.485714,465.962,2224.74,step
19,0.485714,465.962,2224.74,fracture_detected
20,0.510752,465.962,781.961,step
20,0.510752,465.962,781.961,fracture_detected
21,0.535789,468.036,1139.42,step
21,0.535789,468.036,1139.42,fracture_detected
22,0.560827,465.962,967.028,step
22,0.560827,465.962,967.028,fracture_detected
23,0.585865,465.962,1227.56,step
23,0.585865,465.962,1227.56,fracture_detected
24,0.610902,465.962,3278.51,step
24,0.610902,465.962,3278.51,fracture_detected
25,0.63594,465.962,592.362,step
25,0.63594,465.962,592.362,fracture_detected
26,0.660977,469.324,1012.6,step
26,0.660977,469.324,1012.6,fracture_detected
27,0.686015,465.962,1121.13,step
27,0.686015,465.962,1121.13,fracture_detected
28,0.711053,465.962,1837.19,step
28,0.711053,465.962,1837.19,fracture_detected
29,0.73609,468.036,1078.01,step
29,0.73609,468.036,1078.01,fracture_detected
30,0.761128,465.962,1546.3,step
30,0.761128,465.962,1546.3,fracture_detected
31,0.786165,465.962,3495.83,step
31,0.786165,465.962,3495.83,fracture_detected
32,0.811203,465.962,2260.39,step
32,0.811203,465.962,2260.39,fracture_detected
33,0.836241,465.962,1252.17,step
33,0.836241,465.962,1252.17,fracture_detected
34,0.861278,465.962,3229.94,step
34,0.861278,465.962,3229.94,fracture_detected
35,0.886316,465.962,1953.01,step
35,0.886316,465.962,1953.01,fracture_detected
36,0.911353,465.962,4378.75,step
36,0.911353,465.962,4378.75,fracture_detected
37,0.936391,465.962,1206.94,step
37,0.936391,465.962,1206.94,fracture_detected
38,0.961429,465.962,4212.04,step
38,0.961429,465.962,4212.04,fracture_detected
39,0.986466,465.962,537.213,step
39,0.986466,465.962,537.213,fracture_detected
40,1.0115,465.962,2291.9,step
40,1.0115,465.962,2291.9,fracture_detected
41,1.03654,465.962,5916.35,step
41,1.03654,465.962,5916.35,fracture_detected
42,1.06158,465.962,2434.8,step
42,1.06158,465.962,2434.8,fracture_detected
43,1.08662,465.962,3676.11,step
43,1.08662,465.962,3676.11,fracture_detected
44,1.11165,465.962,1904.82,step
44,1.11165,465.962,1904.82,fracture_detected
45,1.13669,465.962,1683.37,step
45,1.13669,465.962,1683.37,fracture_detected
46,1.16173,465.962,3813.06,step
46,1.16173,465.962,3813.06,fracture_detected
47,1.18677,465.962,354.868,step
47,1.18677,465.962,354.868,fracture_detected
48,1.2118,465.962,1430.54,step
48,1.2118,465.962,1430.54,fracture_detected
49,1.23684,465.962,806.035,step
49,1.23684,465.962,806.035,fracture_detected
50,1.26188,465.962,3958.68,step
50,1.26188,465.962,3958.68,fracture_detected
51,1.28692,465.962,2075.25,step
51,1.28692,465.962,2075.25,fracture_detected
52,1.31195,465.962,2325.94,step
52,1.31195,465.962,2325.94,fracture_detected
53,1.33699,465.962,1818.84,step
53,1.33699,465.962,1818.84,fracture_detected
54,1.36203,465.962,669.456,step
54,1.36203,465.962,669.456,fracture_detected
55,1.38707,465.962,4470.25,step
55,1.38707,465.962,4470.25,fracture_detected
56,1.41211,465.962,1928.99,step
56,1.41211,465.962,1928.99,fracture_detected
57,1.43714,465.962,2782.98,step
57,1.43714,465.962,2782.98,fracture_detected
58,1.46218,465.962,331.713,step
58,1.46218,465.962,331.713,fracture_detected
59,1.48722,465.962,3438.68,step
59,1.48722,465.962,3438.68,fracture_detected
60,1.51226,465.962,1499.16,step
60,1.51226,465.962,1499.16,fracture_detected
61,1.53729,465.962,1709.2,step
61,1.53729,465.962,1709.2,fracture_detected
62,1.56233,465.962,577.052,step
62,1.56233,465.962,577.052,fracture_detected
63,1.58737,465.962,27.4034,step
63,1.58737,465.962,27.4034,fracture_detected
64,1.61241,465.962,4447.59,step
64,1.61241,465.962,4447.59,fracture_detected
65,1.63744,465.962,2646.11,step
65,1.63744,465.962,2646.11,fracture_detected
66,1.66248,465.962,207.051,step
66,1.66248,465.962,207.051,fracture_detected
67,1.68752,465.962,1658.25,step
67,1.68752,465.962,1658.25,fracture_detected
68,1.71256,465.962,1884.29,step
68,1.71256,465.962,1884.29,fracture_detected
69,1.73759,465.962,1555.54,step
69,1.73759,465.962,1555.54,fracture_detected
70,1.76263,465.962,323.275,step
70,1.76263,465.962,323.275,fracture_detected
71,1.78767,465.962,478.264,step
71,1.78767,465.962,478.264,fracture_detected
72,1.81271,465.962,2090.06,step
